Season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
2024-2025,Fran Garcia,esESP,DF,24.0,31,24,"2,171",24.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.8,2.7,78.0,119.0,177.0,0.0,0.08,0.08,0.0,0.08,0.04,0.08,0.11,0.04,0.11
2024-2025,Rodrygo,brBRA,"FW,MF",23.0,30,22,"1,928",21.4,6.0,5.0,11.0,6.0,0.0,0.0,0.0,0.0,4.0,3.9,3.0,6.9,113.0,108.0,253.0,0.28,0.23,0.51,0.28,0.51,0.19,0.14,0.33,0.18,0.32
2024-2025,Raúl Asencio,esESP,DF,21.0,23,18,"1,670",18.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.6,0.7,5.0,27.0,4.0,0.0,0.05,0.05,0.0,0.05,0.01,0.03,0.04,0.01,0.04
2024-2025,Luka Modrić,hrCRO,MF,38.0,35,17,"1,827",20.3,2.0,6.0,8.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,7.0,8.5,62.0,208.0,63.0,0.1,0.3,0.39,0.1,0.39,0.08,0.34,0.42,0.08,0.42
2024-2025,Brahim Díaz,maMAR,"FW,MF",24.0,31,16,"1,385",15.4,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,5.3,5.3,3.3,8.6,39.0,74.0,110.0,0.26,0.13,0.39,0.26,0.39,0.34,0.22,0.56,0.34,0.56
2024-2025,Dani Ceballos,esESP,MF,27.0,23,15,"1,215",13.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.6,2.0,42.0,150.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.15,0.03,0.15
2024-2025,Arda Güler,trTUR,"MF,FW",19.0,28,14,"1,250",13.9,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,3.3,3.3,4.5,7.7,34.0,93.0,86.0,0.22,0.29,0.5,0.22,0.5,0.24,0.32,0.56,0.24,0.56
2024-2025,Ferland Mendy,frFRA,DF,29.0,14,12,"1,005",11.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,12.0,36.0,40.0,0.0,0.09,0.09,0.0,0.09,0.0,0.05,0.05,0.0,0.05
2024-2025,Eduardo Camavinga,frFRA,"MF,DF",21.0,19,11,"1,102",12.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.2,26.0,61.0,31.0,0.08,0.16,0.25,0.08,0.25,0.04,0.06,0.1,0.04,0.1
2024-2025,Éder Militão,brBRA,DF,26.0,12,11,938,10.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.5,1.1,7.0,46.0,1.0,0.1,0.1,0.19,0.1,0.19,0.06,0.05,0.11,0.06,0.11
2024-2025,Andriy Lunin,uaUKR,GK,25.0,7,7,630,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,0.0,0.13,0.13,0.0,0.13
2024-2025,Dani Carvajal,esESP,DF,32.0,8,7,609,6.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.2,1.5,13.0,27.0,48.0,0.15,0.0,0.15,0.15,0.15,0.19,0.03,0.22,0.19,0.22
2024-2025,David Alaba,atAUT,DF,32.0,7,4,317,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
2024-2025,Endrick,brBRA,FW,18.0,22,3,363,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,0.5,3.0,12.0,8.0,32.0,0.25,0.0,0.25,0.25,0.25,0.61,0.12,0.73,0.61,0.73
2024-2025,Jacobo Ramón,esESP,DF,19.0,3,2,204,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,0.0,1.0,2.0,0.44,0.0,0.44,0.44,0.44,0.07,0.09,0.16,0.07,0.16
2024-2025,Jesús Vallejo,esESP,DF,27.0,4,1,138,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,1.0,0.0,0.65,0.65,0.0,0.65,0.0,0.08,0.08,0.0,0.08
2024-2025,Fran,esESP,GK,19.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Gonzalo García,esESP,"FW,DF",20.0,3,0,56,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.0,3.0,0.0,1.61,1.61,0.0,1.61,0.79,1.56,2.35,0.79,2.35
2024-2025,Víctor Muñoz,esESP,"FW,DF",21.0,2,0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,1.23,1.23
2024-2025,Chema,esESP,MF,19.0,2,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Lorenzo Aguado,esESP,DF,21.0,2,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Daniel Yáñez,esESP,FW,17.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Diego Aguado,esESP,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,David Jiménez,esESP,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Youssef Lekhedim,esESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Sergio Mestre,esESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Mario Rivas,esESP,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Victor Valdepeñas,esESP,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,Squad Total,,,26.6,38,418,"3,420",38.0,78.0,55.0,133.0,68.0,10.0,14.0,57.0,4.0,75.3,64.5,54.6,119.0,983.0,1967.0,1953.0,2.05,1.45,3.5,1.79,3.24,1.98,1.44,3.42,1.7,3.13
2024-2025,Opponent Total,,,26.7,38,418,"3,420",38.0,37.0,27.0,64.0,34.0,3.0,3.0,89.0,6.0,42.8,40.8,32.0,72.8,648.0,1168.0,1155.0,0.97,0.71,1.68,0.89,1.61,1.13,0.84,1.97,1.07,1.92
